IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.128.164.52,9999,true,SIN,Asia Pacific,Singapore,92 ms,24926 kB/s
203.184.131.62,8888,true,NRT,Asia Pacific,Tokyo,64 ms,21621 kB/s
38.47.99.230,16443,true,KIX,Asia Pacific,Osaka,83 ms,19061 kB/s
193.122.122.16,40377,true,NRT,Asia Pacific,Tokyo,76 ms,18330 kB/s
38.47.97.90,38757,true,KIX,Asia Pacific,Osaka,83 ms,16640 kB/s
34.80.142.68,11464,true,HKG,Asia Pacific,Hong Kong,77 ms,15652 kB/s
154.197.121.254,8443,true,SJC,North America,San Jose,174 ms,12700 kB/s
118.163.101.44,23344,true,TPE,Asia Pacific,Taipei,76 ms,12540 kB/s
23.227.60.223,443,true,SJC,North America,San Jose,177 ms,12145 kB/s
146.56.190.2,2023,true,HKG,Asia Pacific,Hong Kong,71 ms,12099 kB/s
217.163.76.107,2053,true,SJC,North America,San Jose,175 ms,11857 kB/s
185.146.173.12,443,true,SJC,North America,San Jose,170 ms,11588 kB/s
74.211.96.144,9080,true,LAX,North America,Los Angeles,173 ms,11407 kB/s
60.248.63.88,36697,true,TPE,Asia Pacific,Taipei,109 ms,9955 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,220 ms,9806 kB/s
8.222.182.10,2096,true,SIN,Asia Pacific,Singapore,230 ms,9546 kB/s
47.236.65.177,2096,true,SIN,Asia Pacific,Singapore,233 ms,9365 kB/s
8.222.134.170,2053,true,SIN,Asia Pacific,Singapore,235 ms,9355 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,238 ms,9331 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,229 ms,9257 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,242 ms,9254 kB/s
47.236.82.218,2053,true,SIN,Asia Pacific,Singapore,231 ms,9082 kB/s
8.222.145.164,2083,true,SIN,Asia Pacific,Singapore,223 ms,9058 kB/s
47.236.114.167,2096,true,SIN,Asia Pacific,Singapore,236 ms,9028 kB/s
8.222.129.245,2083,true,SIN,Asia Pacific,Singapore,235 ms,9012 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,228 ms,8943 kB/s
47.236.7.13,2087,true,SIN,Asia Pacific,Singapore,223 ms,8938 kB/s
47.236.79.77,2083,true,SIN,Asia Pacific,Singapore,222 ms,8798 kB/s
173.242.117.88,2083,true,LAX,North America,Los Angeles,165 ms,8789 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,232 ms,8764 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,223 ms,8731 kB/s
47.236.15.73,2083,true,SIN,Asia Pacific,Singapore,220 ms,8715 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,231 ms,8683 kB/s
8.222.168.24,2083,true,SIN,Asia Pacific,Singapore,221 ms,8676 kB/s
8.222.224.162,2087,true,SIN,Asia Pacific,Singapore,245 ms,8627 kB/s
8.222.145.110,2053,true,SIN,Asia Pacific,Singapore,234 ms,8607 kB/s
8.222.211.124,2096,true,SIN,Asia Pacific,Singapore,225 ms,8581 kB/s
8.222.168.24,2087,true,SIN,Asia Pacific,Singapore,222 ms,8576 kB/s
8.222.150.197,2053,true,SIN,Asia Pacific,Singapore,229 ms,8548 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,222 ms,8499 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,220 ms,8470 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,223 ms,8467 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,216 ms,8462 kB/s
192.69.91.176,443,true,LAX,North America,Los Angeles,173 ms,8387 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,228 ms,8373 kB/s
132.226.228.151,30843,true,ICN,Asia Pacific,Seoul,71 ms,8348 kB/s
8.222.155.242,2053,true,SIN,Asia Pacific,Singapore,253 ms,8230 kB/s
47.236.103.153,2053,true,SIN,Asia Pacific,Singapore,235 ms,8218 kB/s
62.106.70.181,10006,true,NRT,Asia Pacific,Tokyo,90 ms,8088 kB/s
47.236.83.239,2096,true,SIN,Asia Pacific,Singapore,236 ms,8081 kB/s
47.236.161.155,2053,true,SIN,Asia Pacific,Singapore,238 ms,8005 kB/s
121.185.177.21,10196,true,ICN,Asia Pacific,Seoul,138 ms,7980 kB/s
47.236.65.177,2087,true,SIN,Asia Pacific,Singapore,217 ms,7923 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,220 ms,7890 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,242 ms,7794 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,228 ms,7732 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,220 ms,7723 kB/s
8.222.150.197,2096,true,SIN,Asia Pacific,Singapore,215 ms,7655 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,239 ms,7565 kB/s
8.217.159.210,2083,true,HKG,Asia Pacific,Hong Kong,59 ms,7562 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,216 ms,7496 kB/s
1.233.201.159,12513,true,NRT,Asia Pacific,Tokyo,117 ms,7389 kB/s
47.236.87.246,2083,true,SIN,Asia Pacific,Singapore,220 ms,7360 kB/s
20.247.6.207,23685,true,HKG,Asia Pacific,Hong Kong,132 ms,7213 kB/s
152.70.254.227,33688,true,NRT,Asia Pacific,Tokyo,80 ms,6926 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,229 ms,6711 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,232 ms,6691 kB/s
220.95.9.49,10175,true,ICN,Asia Pacific,Seoul,110 ms,6513 kB/s
47.236.123.133,2096,true,SIN,Asia Pacific,Singapore,238 ms,6345 kB/s
20.167.48.9,8443,true,SYD,Oceania,Sydney,191 ms,6222 kB/s
132.145.83.155,33799,true,ICN,Asia Pacific,Seoul,70 ms,5907 kB/s
146.56.177.67,61153,true,NRT,Asia Pacific,Tokyo,70 ms,5831 kB/s
1.232.40.93,10291,true,KIX,Asia Pacific,Osaka,106 ms,5802 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,218 ms,5782 kB/s
204.93.210.127,8443,true,SJC,North America,San Jose,173 ms,5411 kB/s
77.74.228.97,2087,true,SJC,North America,San Jose,172 ms,5325 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,218 ms,5172 kB/s
91.195.110.131,2083,true,SJC,North America,San Jose,200 ms,5124 kB/s
218.147.177.196,10243,true,ICN,Asia Pacific,Seoul,70 ms,5091 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,175 ms,4740 kB/s
20.11.67.74,2053,true,SYD,Oceania,Sydney,198 ms,4735 kB/s
146.56.139.40,45139,true,ICN,Asia Pacific,Seoul,87 ms,4683 kB/s
185.87.151.56,8443,true,CDG,Europe,Paris,177 ms,4527 kB/s
217.163.76.75,443,true,SJC,North America,San Jose,178 ms,4506 kB/s
217.163.76.88,443,true,SJC,North America,San Jose,173 ms,4351 kB/s
8.222.153.11,2083,true,NRT,Asia Pacific,Tokyo,297 ms,4316 kB/s
131.186.20.178,24960,true,NRT,Asia Pacific,Tokyo,114 ms,4299 kB/s
88.216.66.74,2053,true,SJC,North America,San Jose,201 ms,4234 kB/s
154.197.121.13,8443,true,SJC,North America,San Jose,174 ms,4141 kB/s
93.113.175.66,2083,true,SJC,North America,San Jose,179 ms,3986 kB/s
